invoice_id,invoice_number,invoice_date,due_date,vendor_id,vendor_name,vendor_email,vendor_address,purchase_order_number,item_description,quantity,unit_price,subtotal,tax_amount,discount,total_amount,currency,currency_change_flag,bank_account_number,bank_name,payment_method,duplicate_invoice,bank_changed,vendor_avg_amount,amount_ratio,invoice_frequency_last30days,vendor_risk_score,days_since_last_invoice,is_new_vendor,fraud_label
INV-10665,INVNO-3000,2026-01-23,2026-02-22,V-178,Metro Logistics,metrologistics@example.com,Hyderabad Logistics Park,PO-1411,Electronic Components,310,684,212040,27518.9,1514,238044.9,USD,1,9876543210,IndusInd Bank,UPI,0,1,44022,5.41,2,0.45,262,0,1
INV-10624,INVNO-7298,2025-07-13,2025-08-12,V-673,ABC Steel,abcsteel@example.com,Chennai Port District,PO-9048,Packaging Materials,18,1512,27216,1951.71,831,28336.71,EUR,1,1234567890,HDFC Bank,Wire,0,1,46149,0.61,1,0.84,-250,0,1
INV-10115,INVNO-9624,2025-05-21,2025-06-20,V-650,Delta Electronics,deltaelectronics@example.com,Chennai Port District,PO-1582,Plastic Containers,121,316,38236,3861.82,244,41853.82,USD,1,1234567890,Axis Bank,Bank Transfer,0,0,41650,1.0,4,0.32,-27,0,1
INV-10478,INVNO-8940,2025-02-04,2025-03-06,V-448,Omega Supplies,omegasupplies@example.com,Chennai Port District,PO-7591,Transport Services,145,1105,160225,13485.79,1482,172228.79,INR,1,7539514560,IndusInd Bank,Wire,1,0,50785,3.39,6,0.58,3,0,1
INV-10233,INVNO-4563,2025-08-08,2025-09-07,V-638,Vertex Components,vertexcomponents@example.com,Hyderabad Logistics Park,PO-8249,Industrial Tools,208,650,135200,18392.3,68,153524.3,INR,1,3216549870,ICICI Bank,UPI,1,0,42690,3.6,2,0.71,-238,0,1
INV-10724,INVNO-1603,2026-01-15,2026-02-14,V-660,Delta Electronics,deltaelectronics@example.com,Mumbai Industrial Area,PO-9030,Steel Sheets,338,1405,474890,62641.75,1135,536396.75,EUR,0,7539514560,Axis Bank,Wire,0,0,57560,9.32,7,0.11,-14,1,1
INV-10208,INVNO-5291,2025-04-24,2025-05-24,V-572,ABC Steel,abcsteel@example.com,Mumbai Industrial Area,PO-6369,Electronic Components,75,1540,115500,11463.05,1093,125870.05,INR,1,7539514560,HDFC Bank,UPI,0,0,74953,1.68,1,0.7,1,0,1
INV-10867,INVNO-4647,2025-08-05,2025-09-04,V-685,Global Plastics,globalplastics@example.com,Ahmedabad Trade Center,PO-4175,Steel Sheets,269,1627,437663,78718.27,1129,515252.27,EUR,1,9876543210,ICICI Bank,Bank Transfer,0,0,51145,10.07,1,0.12,-154,0,1
INV-10939,INVNO-1617,2026-01-16,2026-02-15,V-303,Sunrise Traders,sunrisetraders@example.com,Ahmedabad Trade Center,PO-2639,Steel Sheets,118,882,104076,8315.64,1328,111063.64,EUR,1,1593572580,Axis Bank,Wire,0,0,68393,1.62,1,0.52,317,1,0
INV-10479,INVNO-7728,2025-05-24,2025-06-23,V-347,Prime Packaging,primepackaging@example.com,Hyderabad Logistics Park,PO-3671,Transport Services,248,600,148800,8037.5,760,156077.5,INR,1,7418529630,ICICI Bank,Wire,0,0,45704,3.41,6,0.28,-181,1,1
